timestamp, pose_x, pose_y, velocity_x, velocity_y
0,-9.98354,4.01051,0,0
0.033333,-9.85421,4.0058,2.04219,-0.0743623
0.066666,-9.66278,3.96545,5.52543,-1.14378
0.1,-9.5457,3.96748,4.34297,-0.436234
0.133333,-9.36457,3.99634,4.80509,0.115402
0.166666,-9.16549,4.00634,5.19153,0.176578
0.2,-8.97391,4.00718,5.34267,0.135412
0.233333,-8.82763,4.01731,5.1223,0.17428
0.266666,-8.66558,4.02066,5.06989,0.159463
0.3,-8.48794,4.02072,5.1162,0.131304
0.333333,-8.33114,4.02071,5.04969,0.110047
0.366666,-8.1735,4.0074,5.00236,0.0348113
0.4,-8.00514,3.99775,5.00897,-0.00959972
0.433333,-7.84549,3.99734,4.9808,-0.00994378
0.466666,-7.67531,4.00237,4.99595,0.00960517
0.5,-7.51124,4.00849,4.98734,0.0298661
0.533333,-7.34112,4.0118,5.00043,0.0376842
0.566666,-7.17257,4.01319,5.00656,0.0381067
0.6,-7.00792,4.00983,4.99937,0.0232453
0.633333,-6.84055,4.00678,5.00166,0.0111577
0.666666,-6.68054,3.99362,4.98066,-0.0312257
0.7,-6.51599,3.98037,4.97606,-0.0692536
0.733333,-6.35617,3.97482,4.95727,-0.0793027
0.766666,-6.18845,3.96882,4.96497,-0.0897246
0.8,-6.02231,3.97983,4.96696,-0.0462479
0.833333,-5.84983,3.98587,4.98846,-0.0226777
0.866666,-5.68296,3.99569,4.9903,0.0102804
0.9,-5.51052,3.99687,5.00933,0.0129014
0.933333,-5.34751,4.00092,4.99692,0.0242626
0.966666,-5.17177,4.00625,5.02571,0.038434
1,-5.0043,4.01464,5.02554,0.0607962
1.03333,-4.82712,4.01992,5.05598,0.0710462
1.06667,-4.65561,4.02986,5.06537,0.0949231
1.1,-4.47996,4.03655,5.08684,0.106041
1.13333,-4.30828,4.04777,5.09354,0.130299
1.16667,-4.12196,4.04403,5.14577,0.104763
1.2,-3.94619,4.04508,5.15917,0.0970402
1.23333,-3.77458,4.04764,5.15805,0.094916
1.26667,-3.59973,4.05042,5.16726,0.0937252
1.3,-3.42362,4.04633,5.17947,0.0708981
1.33333,-3.24743,4.04687,5.19067,0.0651367
1.36667,-3.07359,4.05235,5.19326,0.0756065
1.4,-2.89592,4.05757,5.20766,0.0841229
1.43333,-2.72077,4.06493,5.21258,0.0985161
1.46667,-2.54367,4.07366,5.22316,0.115726
1.5,-2.36931,4.08316,5.22395,0.133561
1.53333,-2.19131,4.08903,5.2362,0.138033
1.56667,-2.01677,4.09633,5.23619,0.14656
1.6,-1.83967,4.10287,5.24427,0.151774
1.63333,-1.63573,4.08905,5.33626,0.092172
1.66667,-1.44281,4.08142,5.38379,0.0583712
1.7,-1.25432,4.07911,5.41228,0.044933
1.73333,-1.06763,4.08179,5.43212,0.0486699
1.76667,-0.880125,4.08705,5.45244,0.0601468
1.8,-0.690012,4.09435,5.47885,0.0768583
1.83333,-0.498487,4.10589,5.50695,0.105201
