timestamp, pose_x, pose_y
0,-9.98354,4.01051
0.033333,-9.85283,4.00575
0.066666,-9.65798,3.96398
0.1,-9.56051,3.97634
0.133333,-9.34846,4.01558
0.166666,-9.1391,4.01052
0.2,-8.95689,4.00255
0.233333,-8.86454,4.02382
0.266666,-8.67776,4.01722
0.3,-8.47374,4.01209
0.333333,-8.35699,4.01244
0.366666,-8.19608,3.97149
0.4,-8.00138,3.97243
0.433333,-7.86423,3.99711
0.466666,-7.6638,4.01722
0.5,-7.51857,4.02574
0.533333,-7.32885,4.01913
0.566666,-7.16633,4.01362
0.6,-7.01574,3.99367
0.633333,-6.83792,3.99291
0.666666,-6.7057,3.94284
0.7,-6.52169,3.93323
0.733333,-6.38008,3.96204
0.766666,-6.17847,3.9553
0.8,-6.01969,4.03702
0.833333,-5.82127,4.01718
0.866666,-5.68049,4.03977
0.9,-5.48497,4.00039
0.933333,-5.36421,4.01623
0.966666,-5.13295,4.02536
1,-5.00454,4.04482
1.03333,-4.78604,4.03375
1.06667,-4.64294,4.06208
1.1,-4.451,4.05155
1.13333,-4.29924,4.08048
1.16667,-4.05154,4.0096
1.2,-3.92813,4.03467
1.23333,-3.77609,4.04477
1.26667,-3.58731,4.04882
1.3,-3.40717,4.01556
1.33333,-3.23232,4.0391
1.36667,-3.07009,4.06647
1.4,-2.87651,4.06905
1.43333,-2.71414,4.08434
1.46667,-2.52939,4.09687
1.5,-2.36826,4.10722
1.53333,-2.17478,4.09507
1.56667,-2.01678,4.10784
1.6,-1.82877,4.10991
1.63333,-1.51157,4.00861
1.66667,-1.37866,4.0358
1.7,-1.21586,4.06097
1.73333,-1.04084,4.08684
1.76667,-0.852698,4.10254
1.8,-0.654366,4.11691
1.83333,-0.460556,4.14415
1.86667,-0.270787,4.13931
1.9,-0.0841033,4.1293
1.93333,0.118838,4.11557
1.96667,0.324859,4.10304
2,0.528987,4.0741
2.03333,0.722509,4.05058
2.06667,0.925545,4.01811
2.1,1.11652,3.98878
2.13333,1.31602,4.01032
2.16667,1.51491,4.0075
2.2,1.7086,3.98651
2.23333,1.89519,3.95835
2.26667,2.06293,3.93959
2.3,2.27234,3.9563
2.33333,2.4563,3.92723
2.36667,2.60393,3.8542
2.4,2.77575,3.83458
2.43333,3.01486,3.83852
2.46667,3.1921,3.81139
2.5,3.32778,3.74287
2.53333,3.50938,3.70442
2.56667,3.69511,3.66128
2.6,3.90968,3.65563
2.63333,4.0643,3.57854
2.66667,4.21996,3.51349
2.7,4.4622,3.49437
2.73333,4.62868,3.44756
2.76667,4.82759,3.37794
2.8,4.93857,3.30622
2.83333,5.16569,3.25172
2.86667,5.2906,3.17929
2.9,5.52153,3.12657
2.93333,5.63915,3.04948
2.96667,5.86499,2.96776
3,5.98801,2.88816
3.03333,6.19431,2.80486
3.06667,6.31234,2.73027
3.1,6.53638,2.6323
3.13333,6.64545,2.55344
3.16667,6.85653,2.44654
3.2,6.96431,2.35159
3.23333,7.17607,2.23693
3.26667,7.27415,2.15134
3.3,7.47739,2.02969
3.33333,7.59529,1.91288
3.36667,7.79494,1.79507
3.4,8.2079,1.72882
3.43333,8.30758,1.62015
3.46667,8.5059,1.51166
3.5,8.61458,1.39691
3.53333,8.82052,1.31131
3.56667,8.95488,1.21817
3.6,9.15487,1.11539
3.63333,9.31864,1.01542
3.66667,9.49879,0.923025
3.7,9.66328,0.836283
3.73333,9.84088,0.746123
3.76667,10.0333,0.687348
3.8,10.2146,0.60855
3.83333,10.3966,0.53814
3.86667,10.5848,0.466007
3.9,10.7523,0.39469
3.93333,10.9412,0.32992
3.96667,11.1405,0.285744
4,11.3105,0.240147
4.03333,11.5054,0.200279
4.06667,11.6924,0.149096
4.1,11.8763,0.097343
4.13333,12.1523,0.139408
4.16667,12.3405,0.107303
4.2,12.5043,0.0553356
4.23333,12.723,0.0660356
4.26667,12.1788,0.101904
4.3,12.3214,0.0866609
4.33333,12.4833,0.0700951
4.36667,12.4494,0.0428568
4.4,12.614,0.0355512
4.43333,12.7941,0.0307287
4.46667,12.9487,0.0289602
4.5,12.8951,0.0209376
4.53333,13.7312,0.0270436
4.56667,13.8946,0.0256642
4.6,14.066,0.0245268
4.63333,14.0062,0.0243992
4.66667,14.1616,0.0268454
4.7,14.3299,0.0117198
4.73333,14.4958,0.0106145
4.76667,14.3609,0.0219799
4.8,14.5095,0.0229281
4.83333,14.6767,0.0265216
4.86667,15.5095,0.0291603
4.9,15.68,0.0259728
4.93333,15.8449,0.0223863
4.96667,15.9489,0.0258355
5,15.8323,0.0290453
5.03333,15.9748,0.0266804
5.06667,16.1256,0.0305977
5.1,16.2323,0.0116251
5.13333,16.3473,0.0114915
5.16667,16.213,0.0178013
5.2,16.3826,0.019533
5.23333,16.5096,0.024438
5.26667,16.6512,0.0244096
5.3,16.7908,0.023964
5.33333,17.6347,0.0135889
5.36667,17.7557,0.0111427
5.4,17.9077,0.0309135
5.43333,17.9949,0.0314091
5.46667,18.1048,0.0130802
5.5,17.9804,0.0124688
5.53333,18.058,0.0253134
5.56667,18.1697,0.0245028
5.6,18.2456,0.0287999
5.63333,18.3367,0.0265449
5.66667,18.4548,0.0290486
5.7,18.5046,0.0273773
5.73333,18.3862,0.0306602
5.76667,18.4457,0.0264027
5.8,18.5769,0.0330363
5.83333,18.6445,0.0272365
5.86667,18.7831,0.00672418
5.9,18.838,0.0089817
5.93333,18.9718,0.00564504
5.96667,19.0308,0.00754046
6,19.172,0.0127276
6.03333,19.2278,0.0155178
6.06667,19.3464,0.0158533
6.1,19.4357,0.0214828
6.13333,19.507,0.0173056
6.16667,19.5998,0.0167772
6.2,19.6588,0.0239667
6.23333,19.7426,0.0247713
6.26667,19.8213,0.0214807
6.3,19.8806,0.0232724
6.33333,20.6687,0.0187522
6.36667,20.7417,0.0200179
6.4,20.778,0.0212693
6.43333,20.8398,0.0215008
6.46667,20.907,0.027758
6.5,20.9435,0.0270623
6.53333,20.9867,0.0301669
6.56667,21.0418,0.0106422
6.6,21.0805,0.00995415
6.63333,21.1044,0.00829917
6.66667,21.1336,0.0094586
6.7,20.9894,0.0194689
6.73333,21.025,0.0219994
6.76667,21.0428,0.0230399
6.8,21.0718,0.00463194
6.83333,21.0963,0.00487339
6.86667,21.1335,0.00291932
6.9,21.1812,0.00499189
6.93333,21.1969,0.00829798
6.96667,21.219,0.000788033
7,21.2325,0.00166726
7.03333,21.2378,0.00280714
7.06667,21.2501,0.00452471
7.1,21.273,0.0131471
7.13333,21.2934,0.0121068
7.16667,21.3083,0.0132827
7.2,21.3122,0.0142639
7.23333,21.3241,0.00278234
7.26667,21.3293,0.0108225
7.3,21.3436,0.00387806
7.33333,21.3514,0.00321776
7.36667,21.3503,0.00419289
7.4,21.348,0.00489783
7.43333,21.3537,0.00871027
7.46667,21.3454,0.0094378
7.5,21.3179,0.0110312
7.53333,21.3028,0.00608552
7.56667,21.2797,0.00583589
7.6,21.2647,0.00519139
7.63333,21.2507,0.00944221
7.66667,21.2332,0.00266236
7.7,21.2125,0.00202531
7.73333,21.2012,0.00686282
7.76667,21.1935,0.010034
7.8,21.1734,0.00877917
7.83333,21.1326,0.0104206
7.86667,21.0974,0.0121636
7.9,21.0571,0.00789678
7.93333,21.0365,0.00703311
7.96667,21.024,0.0069896
8,20.9726,0.00581551
8.03333,20.9386,0.00654137
8.06667,20.9121,0.00852668
8.1,20.886,0.00418389
8.13333,20.8715,0.00643969
8.16667,20.8397,0.0306528
8.2,20.8102,0.0318055
8.23333,20.7721,0.0231742
8.26667,20.754,0.0312539
8.3,20.719,0.0223572
8.33333,20.6864,0.0182895
8.36667,19.8534,0.0164394
8.4,19.8166,0.0212736
8.43333,19.7808,0.0144154
8.46667,19.6667,0.00925153
8.5,19.6068,0.010417
8.53333,19.5588,0.00617409
8.56667,19.4626,0.00842476
8.6,19.404,0.00975609
8.63333,19.2922,0.00619292
8.66667,19.2156,0.0100487
8.7,19.1351,0.00571609
8.73333,19.0456,0.00662696
8.76667,18.9435,0.00567317
8.8,18.849,0.00855088
8.83333,18.7544,0.00795078
8.86667,18.6638,0.00679898
8.9,18.5568,0.00444198
8.93333,18.4645,0.0133905
8.96667,18.3577,0.0106562
9,18.3057,0.00796354
9.03333,18.25,0.00922966
9.06667,18.1923,0.0106727
9.1,18.1272,0.0121349
9.13333,18.0626,0.0145715
9.16667,18.0096,0.00968748
9.2,17.9502,0.00850642
9.23333,17.8745,0.0240988
9.26667,17.8238,0.0125263
9.3,17.7557,0.0222772
9.33333,17.6942,0.0159182
9.36667,16.8226,0.0196552
9.4,16.7341,0.0105493
9.43333,16.608,0.00994587
9.46667,16.4618,0.00836229
9.5,16.3136,0.00965214
9.53333,16.1889,0.00746256
9.56667,16.0937,0.0116702
9.6,16.0151,0.0116177
9.63333,15.934,0.0125232
9.66667,15.8385,0.0129529
9.7,15.7786,0.00552183
9.73333,15.7203,0.0184873
9.76667,15.6322,0.0224466
9.8,15.562,0.0261405
9.83333,15.4697,0.0186374
9.86667,14.5859,0.0225827
9.9,14.3973,0.0279711
9.93333,14.3054,0.0257004
9.96667,14.217,0.0221894
