timestamp, pose_x, pose_y
0,-11.1685,0.02636
0.033333,-11.1518,0.0148866
0.066666,-11.1296,0.0203648
0.1,-11.1142,0.0200162
0.133333,-11.0991,0.014014
0.166666,-11.0872,0.0214966
0.2,-11.0694,0.022304
0.233333,-11.0558,0.0258773
0.266666,-11.0395,0.0161059
0.3,-11.0192,0.0227056
0.333333,-11.0031,0.0252568
0.366666,-10.9835,0.0232178
0.4,-10.9702,0.0290858
0.433333,-10.949,0.0165355
0.466666,-10.9334,0.0119801
0.5,-10.9196,0.0205383
0.533333,-10.9024,0.028213
0.566666,-10.8847,0.0349274
0.6,-10.8756,0.0484023
0.633333,-10.8351,0.0477884
0.666666,-10.7991,0.0618822
0.7,-11.256,0.0135362
0.733333,-11.191,0.0216576
0.766666,-11.1572,0.0311834
0.8,-11.1016,0.0432834
0.833333,-11.059,0.0468911
0.866666,-10.9941,0.0635628
0.9,-10.9374,0.075642
0.933333,-10.8813,0.0903689
0.966666,-10.8321,0.112788
1,-10.7648,0.132704
1.03333,-10.7019,0.155548
1.06667,-10.6351,0.179888
1.1,-10.5763,0.209544
1.13333,-10.502,0.231824
1.16667,-10.4237,0.260803
1.2,-10.3461,0.287231
1.23333,-10.2786,0.315302
1.26667,-10.1916,0.356725
1.3,-10.1084,0.38743
1.33333,-10.0216,0.414057
1.36667,-9.94009,0.444757
1.4,-9.84437,0.477601
1.43333,-9.75362,0.518199
1.46667,-9.65495,0.553081
1.5,-9.56211,0.591996
1.53333,-9.46206,0.633328
1.56667,-9.35333,0.676847
1.6,-9.24296,0.713375
1.63333,-9.1412,0.754417
1.66667,-9.02589,0.802867
1.7,-8.9054,0.845742
1.73333,-8.79476,0.890212
1.76667,-8.68142,0.93419
1.8,-8.55343,0.987195
1.83333,-8.43242,1.02659
1.86667,-8.30336,1.0766
1.9,-8.17424,1.13007
1.93333,-8.04398,1.17806
1.96667,-7.90646,1.23441
2,-7.77404,1.2787
2.03333,-7.62898,1.33623
2.06667,-7.48799,1.39488
2.1,-7.34094,1.43961
2.13333,-7.20166,1.49948
2.16667,-7.04866,1.5605
2.2,-6.89522,1.6195
2.23333,-6.73282,1.6808
2.26667,-6.57891,1.73865
2.3,-6.4181,1.80477
2.33333,-6.25547,1.86801
2.36667,-6.08974,1.92995
2.4,-5.92311,1.99007
2.43333,-5.74827,2.06207
2.46667,-5.57498,2.12259
2.5,-5.40376,2.1892
2.53333,-5.2191,2.26287
2.56667,-5.04029,2.33334
2.6,-4.85576,2.40318
2.63333,-4.667,2.47542
2.66667,-4.47652,2.5469
2.7,-4.29034,2.62455
2.73333,-4.09477,2.69733
2.76667,-3.89992,2.77091
2.8,-3.69749,2.84917
2.83333,-3.49384,2.92792
2.86667,-3.29437,3.00382
2.9,-3.08354,3.0843
2.93333,-2.87412,3.16483
2.96667,-2.66199,3.24299
3,-2.44821,3.32697
3.03333,-2.23059,3.41011
3.06667,-2.01202,3.49219
3.1,-1.78549,3.57884
3.13333,-1.55276,3.6686
3.16667,-1.32592,3.73917
3.2,-1.10051,3.84026
3.23333,-0.866664,3.93116
3.26667,-0.627858,3.99148
3.3,-0.373723,4.02346
3.33333,-0.129437,4.02573
3.36667,0.12708,4.01758
3.4,0.382143,4.01923
3.43333,0.630673,4.01461
3.46667,0.892604,4.00939
3.5,1.1561,4.00892
3.53333,1.42534,4.00771
3.56667,1.68704,4.00406
3.6,1.95784,4.00336
3.63333,2.21685,4.00344
3.66667,2.49147,3.99938
3.7,2.76246,3.99756
3.73333,3.04965,3.99774
3.76667,3.32995,3.9914
3.8,3.59904,3.99491
3.83333,3.88361,3.99081
3.86667,4.17439,3.98887
3.9,4.46268,3.98209
3.93333,4.75248,3.97542
3.96667,5.04443,3.97228
4,5.33729,3.96808
4.03333,5.63413,3.97234
4.06667,5.92726,3.97363
4.1,6.23565,3.9703
4.13333,6.53895,3.96851
4.16667,6.83949,3.96748
4.2,7.14711,3.96072
4.23333,7.45987,3.95775
4.26667,7.77077,3.95307
4.3,8.08216,3.95275
4.33333,8.39902,3.94724
4.36667,8.72284,3.94133
4.4,9.04459,3.94813
4.43333,9.36627,3.94296
4.46667,9.69076,3.93773
4.5,10.0198,3.93706
4.53333,10.348,3.93364
4.56667,10.6751,3.93445
4.6,11.0105,3.92937
4.63333,11.3416,3.9241
4.66667,11.6673,3.92469
4.7,11.994,3.92163
4.73333,12.3324,3.91558
4.76667,12.6627,3.914
4.8,12.9888,3.91169
4.83333,13.3152,3.90654
4.86667,13.6524,3.90682
4.9,13.9831,3.90064
4.93333,14.2914,3.89964
4.96667,14.6386,3.89738
5,14.9673,3.89219
5.03333,15.3001,3.89027
5.06667,15.6297,3.88913
5.1,15.9357,3.89026
5.13333,16.2899,3.88289
5.16667,16.6106,3.88425
5.2,16.9323,3.88145
5.23333,17.2706,3.87524
