timestamp, pose_x, pose_y
0,-9.98354,4.01051
0.033333,-9.81655,4.01029
0.066666,-9.65309,4.00616
0.1,-9.48651,4.00867
0.133333,-9.3224,4.00859
0.166666,-9.15149,4.00825
0.2,-8.97867,4.00659
0.233333,-8.8186,4.01113
0.266666,-8.655,4.01079
0.3,-8.48178,4.00601
0.333333,-8.31866,4.01132
0.366666,-8.15458,4.00795
0.4,-7.98463,4.01022
0.433333,-7.82185,4.00715
0.466666,-7.64885,4.00968
0.5,-7.48348,4.00905
0.533333,-7.32012,4.01256
0.566666,-7.14858,4.00322
0.6,-6.98001,4.007
0.633333,-6.81504,4.01175
0.666666,-6.64817,4.00847
0.7,-6.47616,4.00972
0.733333,-6.30511,4.01112
0.766666,-6.14203,4.00698
0.8,-5.96223,4.01529
0.833333,-5.7961,4.01117
0.866666,-5.61762,4.01113
0.9,-5.44795,4.01078
0.933333,-5.27446,4.00818
0.966666,-5.10213,4.00623
1,-4.93331,4.01163
1.03333,-4.75301,4.01171
1.06667,-4.57672,4.00885
1.1,-4.40453,4.0104
1.13333,-4.2299,4.00687
1.16667,-4.05154,4.0096
1.2,-3.8707,4.00636
1.23333,-3.68924,4.01249
1.26667,-3.51862,4.00764
1.3,-3.33959,4.00864
1.33333,-3.15818,4.00967
1.36667,-2.97581,4.0094
1.4,-2.7963,4.01111
1.43333,-2.61804,4.01
1.46667,-2.42845,4.00976
1.5,-2.24755,4.01292
1.53333,-2.06068,4.00809
1.56667,-1.87815,4.01207
1.6,-1.6975,4.01014
1.63333,-1.51157,4.00861
1.66667,-1.32812,4.00618
1.7,-1.14634,4.01102
1.73333,-0.957974,4.00538
1.76667,-0.773285,4.0071
1.8,-0.58,4.00756
1.83333,-0.389694,4.01213
1.86667,-0.201416,4.00818
1.9,-0.0179193,4.00579
1.93333,0.175626,4.00579
1.96667,0.365792,4.00936
2,0.565866,4.00776
2.03333,0.752543,4.00699
2.06667,0.948503,4.00667
2.1,1.13271,4.00568
2.13333,1.33621,4.0096
2.16667,1.52014,4.00641
2.2,1.7224,4.0051
2.23333,1.93188,4.00296
2.26667,2.10856,4.00296
2.3,2.299,3.99688
2.33333,2.49344,3.98471
2.36667,2.69151,3.97083
2.4,2.88267,3.94936
2.43333,3.07382,3.92588
2.46667,3.27581,3.9059
2.5,3.46322,3.87217
2.53333,3.65209,3.83701
2.56667,3.84457,3.79582
2.6,4.03537,3.76115
2.63333,4.22758,3.70959
2.66667,4.41419,3.66342
2.7,4.606,3.6089
2.73333,4.7889,3.55609
2.76667,4.97243,3.49732
2.8,5.15676,3.42324
2.83333,5.33862,3.36012
2.86667,5.52182,3.29344
2.9,5.69929,3.22026
2.93333,5.87986,3.13908
2.96667,6.05611,3.06656
3,6.23729,2.97528
3.03333,6.40495,2.88187
3.06667,6.57785,2.79688
3.1,6.74945,2.70425
3.13333,6.91884,2.60682
3.16667,7.08594,2.50634
3.2,7.25261,2.39902
3.23333,7.41775,2.28921
3.26667,7.56575,2.18425
3.3,7.73404,2.06485
3.33333,7.88392,1.9454
3.36667,8.04493,1.84319
3.4,8.2079,1.72882
3.43333,8.36447,1.61561
3.46667,8.534,1.51272
3.5,8.69704,1.41049
3.53333,8.86848,1.30853
3.56667,9.03788,1.22843
3.6,9.21035,1.12036
3.63333,9.39196,1.04099
3.66667,9.55644,0.95765
3.7,9.73814,0.874856
3.73333,9.91718,0.794778
3.76667,10.1033,0.714378
3.8,10.2819,0.656266
3.83333,10.4585,0.586248
3.86667,10.6508,0.514775
3.9,10.8307,0.462045
3.93333,11.0176,0.405086
3.96667,11.2125,0.352087
4,11.3964,0.298747
4.03333,11.5842,0.252692
4.06667,11.7779,0.213208
4.1,11.9687,0.173607
4.13333,12.1523,0.139408
4.16667,12.3425,0.113166
4.2,12.456,0.0977612
4.23333,12.723,0.0660356
4.26667,12.1788,0.101904
4.3,12.2672,0.0814191
4.33333,12.3522,0.0574061
