timestamp, pose_x, pose_y
0,-11.1685,0.02636
0.033333,-11.1501,0.0161698
0.066666,-11.1317,0.00928456
0.1,-11.1199,0.0110734
0.133333,-11.1027,0.0113527
0.166666,-11.0863,0.0105841
0.2,-11.0689,0.0092591
0.233333,-11.0534,0.00829726
0.266666,-11.0387,0.016515
0.3,-11.019,0.0135874
0.333333,-11.0054,0.0106136
0.366666,-10.9863,0.0126399
0.4,-10.9715,0.0134357
0.433333,-10.9514,0.00964749
0.466666,-10.9362,0.00891685
0.5,-10.9188,0.0069232
0.533333,-10.9026,0.00664765
0.566666,-10.8812,0.00607961
0.6,-10.8747,0.0060249
0.633333,-10.8351,0.0477884
0.666666,-10.8085,0.0605682
0.7,-11.2462,0.0196901
0.733333,-11.2178,0.0231264
0.766666,-11.1831,0.0308867
0.8,-11.1479,0.0154619
0.833333,-11.0884,0.0135799
0.866666,-11.0416,0.0468816
0.9,-10.9853,0.0535232
0.933333,-10.9216,0.0936702
0.966666,-10.8708,0.0997133
1,-10.8084,0.124769
1.03333,-10.756,0.153407
1.06667,-10.6994,0.179047
1.1,-10.6314,0.206219
1.13333,-10.5537,0.234308
1.16667,-10.4837,0.25993
1.2,-10.4103,0.292882
1.23333,-10.3271,0.322348
1.26667,-10.2359,0.343343
1.3,-10.1515,0.366641
1.33333,-10.0667,0.405407
1.36667,-9.94667,0.435867
1.4,-9.87668,0.45736
1.43333,-9.78072,0.512681
1.46667,-9.70156,0.557395
1.5,-9.60996,0.555413
1.53333,-9.50669,0.571224
1.56667,-9.41593,0.617294
1.6,-9.27087,0.665817
1.63333,-9.20318,0.675248
1.66667,-9.04392,0.717163
1.7,-8.97848,0.753506
1.73333,-8.80081,0.790047
1.76667,-8.73879,0.932853
1.8,-8.56132,0.875459
1.83333,-8.50879,0.935557
1.86667,-8.31705,0.97566
1.9,-8.26202,1.01674
1.93333,-8.06164,1.05939
1.96667,-7.99085,1.10656
2,-7.80201,1.16379
2.03333,-7.68855,1.21458
2.06667,-7.5032,1.25993
2.1,-7.41063,1.316
2.13333,-7.21393,1.386
2.16667,-7.09978,1.44405
2.2,-6.91517,1.49947
2.23333,-6.7962,1.58397
2.26667,-6.59641,1.63813
2.3,-6.49774,1.71515
2.33333,-6.2881,1.77584
2.36667,-6.17266,1.85369
2.4,-5.96556,1.91567
2.43333,-5.82984,1.99032
2.46667,-5.64283,2.04924
2.5,-5.40376,2.1892
2.53333,-5.28817,2.25634
2.56667,-5.11239,2.30673
2.6,-4.97081,2.4023
2.63333,-4.7372,2.4592
2.66667,-4.60661,2.5478
2.7,-4.38021,2.61113
2.73333,-4.2276,2.71968
2.76667,-4.03945,2.80645
2.8,-3.85019,2.88593
2.83333,-3.65763,2.97973
2.86667,-3.45683,3.05819
2.9,-3.08354,3.0843
2.93333,-2.93555,3.1687
2.96667,-2.73724,3.27157
3,-2.54769,3.36932
3.03333,-2.34205,3.45786
3.06667,-2.11868,3.54021
3.1,-1.89737,3.62509
3.13333,-1.66944,3.71309
3.16667,-1.42827,3.79024
3.2,-1.15784,3.87144
3.23333,-0.930874,3.93895
3.26667,-0.698907,3.99265
3.3,-0.458092,4.02971
3.33333,-0.203785,4.04228
3.36667,0.0692909,4.03821
3.4,0.331151,4.01894
3.43333,0.560648,3.98803
3.46667,0.82803,3.99092
3.5,1.1561,4.00892
3.53333,1.40085,4.00185
3.56667,1.65982,3.9703
3.6,1.90158,3.94972
3.63333,2.14366,3.9242
3.66667,2.41662,3.95455
3.7,2.66949,3.91741
3.73333,2.94092,3.92492
3.76667,3.22985,3.92976
3.8,3.48236,3.91444
3.83333,3.76103,3.9374
3.86667,4.04521,3.92863
3.9,4.32785,3.90876
3.93333,4.60585,3.91385
3.96667,4.89817,3.87946
4,5.1781,3.87583
4.03333,5.46806,3.85243
4.06667,5.74879,3.83874
4.1,6.04803,3.86404
4.13333,6.33602,3.84313
4.16667,6.62821,3.86318
4.2,7.14711,3.96072
4.23333,7.42852,3.93991
4.26667,7.71602,3.92506
4.3,8.005,3.90586
4.33333,8.33308,3.92709
4.36667,8.64916,3.90144
4.4,8.97479,3.90816
4.43333,9.27694,3.90007
4.46667,9.61126,3.91013
4.5,9.93747,3.89503
4.53333,10.2567,3.90127
4.56667,10.5805,3.89506
4.6,10.9335,3.88949
4.63333,11.2444,3.86633
4.66667,11.6138,3.87158
4.7,11.9151,3.87813
4.73333,12.2575,3.84738
4.76667,12.6627,3.914
4.8,12.9609,3.89314
4.83333,13.2695,3.88569
4.86667,13.6173,3.87123
4.9,13.9288,3.86453
4.93333,14.2748,3.8373
4.96667,14.6386,3.89738
5,14.9402,3.87141
5.03333,15.2482,3.87204
5.06667,15.607,3.87492
5.1,15.8971,3.85245
5.13333,16.2412,3.82117
5.16667,16.6106,3.88425
5.2,16.9119,3.87418
5.23333,17.2238,3.85714
5.26667,17.5881,3.86946
5.3,17.9156,3.87301
5.33333,18.2085,3.85661
5.36667,18.5749,3.86309
5.4,18.9012,3.84964
5.43333,19.2375,3.82477
5.46667,19.5314,3.81431
5.5,19.8901,3.80944
5.53333,20.162,3.81138
5.56667,20.5306,3.82037
5.6,20.8528,3.80726
5.63333,21.1844,3.79115
5.66667,21.5436,3.82974
5.7,21.8019,3.81708
5.73333,22.1389,3.8012
5.76667,22.4229,3.82666
5.8,22.7985,3.81434
5.83333,23.1007,3.80555
5.86667,23.4001,3.79808
5.9,23.712,3.79876
5.93333,24.0142,3.79606
5.96667,24.3175,3.78717
6,24.6223,3.7812
6.03333,24.9153,3.79923
6.06667,25.1976,3.79559
6.1,25.4937,3.79174
6.13333,25.8095,3.80322
6.16667,26.0317,3.77411
6.2,26.3707,3.80273
6.23333,26.5889,3.77457
6.26667,26.8811,3.77465
6.3,27.1915,3.76966
6.33333,27.4711,3.76564
6.36667,27.7586,3.75506
6.4,28.0171,3.76278
6.43333,28.2862,3.75704
6.46667,28.5462,3.7408
6.5,28.816,3.7401
6.53333,29.0792,3.72965
6.56667,29.3736,3.76648
6.6,29.5682,3.71376
6.63333,29.8673,3.72908
6.66667,30.1179,3.73343
6.7,30.3682,3.72634
6.73333,30.6348,3.72638
6.76667,30.8827,3.71291
6.8,31.109,3.74457
6.83333,31.3589,3.74516
6.86667,31.5773,3.73579
6.9,31.8657,3.74977
6.93333,32.0287,3.72778
6.96667,32.2964,3.74695
7,32.451,3.71867
7.03333,32.7978,3.74191
7.06667,32.9401,3.71092
7.1,33.0593,3.73384
7.13333,33.4614,3.69416
7.16667,33.6973,3.70623
7.2,33.8929,3.69046
7.23333,34.1015,3.68757
7.26667,34.3152,3.69198
7.3,34.5073,3.68767
7.33333,34.7232,3.68407
7.36667,34.9264,3.67764
7.4,35.1255,3.67677
7.43333,35.3453,3.6762
7.46667,35.5405,3.67593
7.5,35.7298,3.66865
7.53333,35.9379,3.67105
7.56667,36.1403,3.66964
7.6,36.3372,3.67232
7.63333,36.305,3.71589
7.66667,36.7188,3.68452
7.7,36.8587,3.68427
7.73333,37.0803,3.69788
7.76667,37.3136,3.69724
7.8,37.4761,3.68919
7.83333,37.5242,3.66656
7.86667,37.6556,3.67774
7.9,38.0768,3.6393
7.93333,38.2158,3.69465
7.96667,38.3699,3.67194
8,38.5234,3.67948
8.03333,38.9074,3.67801
8.06667,39.0765,3.65431
8.1,39.2254,3.65732
8.13333,39.5018,3.68907
8.16667,39.697,3.66242
8.2,39.8515,3.65684
8.23333,40.063,3.62102
8.26667,39.9913,3.68174
8.3,40.497,3.65864
8.33333,40.6516,3.6645
8.36667,40.6953,3.66428
8.4,40.8662,3.64733
8.43333,41.3014,3.62493
8.46667,41.3922,3.66866
8.5,41.5454,3.64947
8.53333,41.7781,3.63499
8.56667,42.0773,3.65662
8.6,42.2288,3.6366
8.63333,42.3558,3.61438
8.66667,42.3863,3.6566
8.7,42.5261,3.64173
8.73333,43.034,3.59258
8.76667,43.1785,3.6429
8.8,43.3242,3.63665
8.83333,43.4876,3.61812
8.86667,43.4818,3.64906
8.9,43.6521,3.63068
8.93333,44.1791,3.54984
8.96667,44.3433,3.52978
9,44.3731,3.64214
9.03333,44.5227,3.63225
9.06667,44.5668,3.64738
9.1,45.1516,3.62241
9.13333,45.2856,3.59399
9.16667,45.3655,3.64047
9.2,45.5402,3.61099
9.23333,45.6715,3.60504
9.26667,46.1662,3.60898
9.3,46.3439,3.59507
9.33333,46.5009,3.56959
9.36667,46.4635,3.5954
9.4,46.6359,3.59708
9.43333,47.1547,3.56391
9.46667,47.3145,3.55098
9.5,47.3554,3.60734
9.53333,47.5354,3.60019
9.56667,47.7029,3.57435
9.6,47.8559,3.59784
9.63333,47.7497,3.6243
9.66667,47.9314,3.60407
9.7,48.0948,3.61959
9.73333,48.2557,3.60001
9.76667,48.1279,3.58897
9.8,48.316,3.59467
9.83333,48.5003,3.58681
9.86667,48.6585,3.58858
9.9,48.5287,3.57797
9.93333,48.723,3.60158
9.96667,48.922,3.60314
