timestamp, pose_x, pose_y, velocity_x, velocity_y, angle
5.06667,-3.84,-4,-2.7,-0,0
5.1,-3.93,-4,-2.6,-0,0
5.13333,-4.01667,-4,-2.5,-0,0
5.16667,-4.1,-4,-2.4,-0,0
5.2,-4.18,-4,-2.3,-0,0
5.23333,-4.25667,-4,-2.2,-0,0
5.26667,-4.33,-4,-2.1,-0,0
5.3,-4.4,-4,-2,-0,0
5.33333,-4.46667,-4,-1.9,-0,0
5.36667,-4.53,-4,-1.8,-0,0
5.4,-4.59,-4,-1.7,-0,0
5.43333,-4.64667,-4,-1.6,-0,0
5.46667,-4.7,-4,-1.5,-0,0
5.5,-4.75,-4,-1.4,-0,0
5.53333,-4.79667,-4,-1.3,-0,0
5.56667,-4.84001,-4,-1.2,-0,0
5.6,-4.88001,-4,-1.1,-0,0
5.63333,-4.91667,-4,-1,-0,0
5.66667,-4.95001,-4,-0.900004,-0,0
5.7,-4.98001,-4,-0.800004,-0,0
5.73333,-5.00667,-4,-0.700004,-0,0
5.76667,-5.03001,-4,-0.600003,-0,0
5.8,-5.05001,-4,-0.500003,-0,0
5.83333,-5.06667,-4,-0.400003,-0,0
5.86667,-5.08001,-4,-0.300003,-0,0
5.9,-5.09001,-4,-0.200003,-0,0
5.93333,-5.09667,-4,-0.100003,-0,0
5.96667,-5.10001,-4,-3.38256e-06,-0,0
6,-5.10001,-4,0.0999966,0,0
6.03333,-5.09667,-4,0.199997,0,0
6.06667,-5.09001,-4,0.299997,0,0
6.1,-5.08001,-4,0.399997,0,0
6.13333,-5.06667,-4,0.499997,0,0
6.16667,-5.05001,-4,0.599997,0,0
6.2,-5.03001,-4,0.699997,0,0
6.23333,-5.00667,-4,0.799997,0,0
6.26667,-4.98001,-4,0.899997,0,0
6.3,-4.95001,-4,0.999997,0,0
6.33333,-4.91667,-4,1.1,0,0
6.36667,-4.88001,-4,1.2,0,0
6.4,-4.84001,-4,1.3,0,0
6.43333,-4.79667,-4,1.4,0,0
6.46667,-4.75001,-4,1.5,0,0
6.5,-4.70001,-4,1.6,0,0
6.53333,-4.64667,-4,1.7,0,0
6.56667,-4.59001,-4,1.8,0,0
6.6,-4.53001,-4,1.9,0,0
6.63333,-4.46668,-4,2,0,0
6.66667,-4.40001,-4,2.1,0,0
6.7,-4.33001,-4,2.2,0,0
6.73333,-4.25668,-4,2.3,0,0
6.76667,-4.18001,-4,2.4,0,0
6.8,-4.10001,-4,2.5,0,0
6.83333,-4.01668,-4,2.6,0,0
6.86667,-3.93001,-4,2.7,0,0
6.9,-3.84001,-4,2.8,0,0
6.93333,-3.74668,-4,2.9,0,0
6.96667,-3.65001,-4,3,0,0
7,-3.55001,-4,3.1,0,0
7.03333,-3.44668,-4,3.2,0,0
7.06667,-3.34001,-4,3.3,0,0
7.1,-3.23001,-4,3.4,0,0
7.13333,-3.11668,-4,3.5,0,0
7.16667,-3.00001,-4,3.6,0,0
7.2,-2.88001,-4,3.7,0,0
7.23333,-2.75668,-4,3.8,0,0
7.26667,-2.63001,-4,3.9,0,0
7.3,-2.50001,-4,4,0,0
7.33333,-2.36668,-4,4.1,0,0
7.36667,-2.23001,-4,4.2,0,0
7.4,-2.09001,-4,4.29999,0,0
7.43333,-1.94668,-4,4.39999,0,0
7.46667,-1.80001,-4,4.49999,0,0
7.5,-1.65001,-4,4.59999,0,0
7.53333,-1.49668,-4,4.69999,0,0
7.56667,-1.34001,-4,4.79999,0,0
7.6,-1.18001,-4,4.89999,0,0
7.63333,-1.01668,-4,4.99999,0,0
7.66667,-0.850013,-4,5.09999,0,0
7.7,-0.680013,-4,5.19999,0,0
7.73333,-0.50668,-4,5.29999,0,0
7.76667,-0.330013,-4,5.39999,0,0
7.8,-0.150014,-4,5.49999,0,0
7.83333,0.0333196,-4,5.59999,0,0
7.86667,0.219986,-4,5.69999,0,0
7.9,0.409986,-4,5.79999,0,0
7.93333,0.603319,-4,5.89999,0,0
7.96667,0.799985,-4,5.99999,0,0
