timestamp, pose_x, pose_y
0,24.9448,-3.97412
0.033333,24.7936,-3.97444
0.066666,24.5945,-3.96487
0.1,24.2859,-3.98524
0.133333,24.1881,-3.98208
0.166666,23.9728,-3.97447
0.2,23.7878,-3.96883
0.233333,23.5874,-3.97433
0.266666,23.3532,-3.9804
0.3,23.1927,-3.95265
0.333333,22.9957,-3.97041
0.366666,22.773,-3.98097
0.4,22.5947,-3.97719
0.433333,22.3842,-3.96898
0.466666,22.1776,-3.98468
0.5,21.9552,-3.98323
0.533333,21.7798,-3.98083
0.566666,21.5795,-3.97253
0.6,21.3745,-3.97663
0.633333,21.1764,-3.97991
0.666666,20.9491,-3.98296
0.7,20.7754,-3.97752
0.733333,20.5711,-3.9679
0.766666,20.3687,-3.99093
0.8,20.171,-3.97719
0.833333,19.9622,-3.98257
0.866666,19.7699,-3.98778
0.9,19.564,-3.97777
0.933333,19.4034,-3.98348
0.966666,19.2082,-3.98968
1,19.0011,-3.98437
1.03333,18.8043,-3.98695
1.06667,18.6068,-3.97938
1.1,18.4006,-3.97784
1.13333,18.2063,-3.98796
1.16667,18.006,-3.96973
1.2,17.8043,-3.97878
1.23333,17.6054,-3.97935
1.26667,17.3995,-3.98266
1.3,17.2073,-3.98578
1.33333,17.0039,-3.9833
1.36667,16.8041,-3.98023
1.4,16.5996,-3.9828
1.43333,16.4049,-3.97739
1.46667,16.2046,-3.98729
1.5,16.0037,-3.97895
1.53333,15.8035,-3.98508
1.56667,15.6061,-3.97523
1.6,15.4037,-3.98001
1.63333,15.21,-3.98361
1.66667,15.0035,-3.98767
1.7,14.8137,-3.9844
1.73333,14.6072,-3.98198
1.76667,14.4069,-3.9854
1.8,14.202,-3.98636
1.83333,13.9974,-3.97776
1.86667,13.8044,-3.98517
1.9,13.6096,-3.97958
1.93333,13.4062,-3.98031
1.96667,13.2092,-3.97847
2,13.0083,-3.96926
2.03333,12.8044,-3.98718
2.06667,12.5988,-3.97426
2.1,12.3939,-3.98408
2.13333,12.1987,-3.98224
2.16667,12.0086,-3.98607
2.2,11.8056,-3.97612
2.23333,11.6,-3.97755
2.26667,11.4038,-3.98694
2.3,11.1975,-3.98415
2.33333,11.0034,-3.97881
2.36667,10.8066,-3.9849
2.4,10.6125,-3.98853
2.43333,10.4091,-3.9834
2.46667,10.208,-3.98081
2.5,10.0053,-3.98483
2.53333,9.80138,-3.9807
2.56667,9.61156,-3.98341
2.6,9.41162,-3.9828
2.63333,9.20878,-3.98667
2.66667,9.00799,-3.98112
2.7,8.81539,-3.97812
2.73333,8.61072,-3.97314
2.76667,8.4094,-3.98286
2.8,8.20608,-3.98923
2.83333,8.00723,-3.98378
2.86667,7.80646,-3.98249
2.9,7.60925,-3.97944
2.93333,7.4038,-3.98315
2.96667,7.21042,-3.98192
3,7.00717,-3.98221
3.03333,6.80552,-3.98213
3.06667,6.60583,-3.98372
3.1,6.40845,-3.98573
3.13333,6.2099,-3.98502
