timestamp, pose_x, pose_y, velocity_x, velocity_y
0,-11.1685,0.02636,0,0
0.033333,-11.1503,0.0162772,0.288063,-0.159202
0.066666,-11.132,0.00934771,0.532065,-0.205027
0.1,-11.1189,0.00952497,0.450838,-0.0814718
0.133333,-11.1031,0.0099572,0.46131,-0.0414616
0.166666,-11.0868,0.0097722,0.469691,-0.0295732
0.2,-11.07,0.00903283,0.479519,-0.0275637
0.233333,-11.0537,0.00819886,0.481443,-0.0269762
0.266666,-11.0381,0.0111356,0.478924,-0.00383194
0.3,-11.0209,0.0119838,0.485329,0.00139909
0.333333,-11.005,0.0115387,0.484288,-0.000980968
0.366666,-10.988,0.01187,0.487906,0.000632258
0.4,-10.9717,0.0123531,0.488229,0.00253093
0.433333,-10.9543,0.0116546,0.492563,-0.000486024
0.466666,-10.9374,0.0109174,0.494156,-0.00311865
0.5,-10.9204,0.00983462,0.49602,-0.00653769
0.533333,-10.9036,0.00890322,0.497089,-0.00894279
0.566666,-10.8856,0.00802237,0.501495,-0.0108535
0.6,-10.8702,0.00729631,0.497396,-0.0120232
0.633333,-10.8496,0.0157273,0.510078,0.0159165
0.666666,-10.8275,0.0255801,0.52594,0.0451154
0.7,-10.8998,0.0255624,0.246476,0.0403779
0.733333,-10.9575,0.0261441,0.0418116,0.0380057
0.766666,-11.0013,0.0281028,-0.0983717,0.040152
0.8,-11.0328,0.0266915,-0.185921,0.0316151
0.833333,-11.0486,0.024985,-0.215851,0.0230304
0.866666,-11.053,0.0298402,-0.207315,0.0357718
0.9,-11.0456,0.0353601,-0.162452,0.0492936
0.933333,-11.0262,0.0478631,-0.0847915,0.0833073
0.966666,-10.9988,0.0600179,0.0101408,0.112742
1,-10.9622,0.0754089,0.124126,0.149322
1.03333,-10.9196,0.0942949,0.245342,0.193125
1.06667,-10.8711,0.115637,0.372542,0.24012
1.1,-10.8154,0.139349,0.508975,0.289694
1.13333,-10.7519,0.165228,0.655949,0.340921
1.16667,-10.6832,0.192438,0.803905,0.390983
1.2,-10.6096,0.222091,0.951787,0.443501
1.23333,-10.5302,0.253126,1.1025,0.49486
1.26667,-10.4445,0.283638,1.25727,0.539159
1.3,-10.3548,0.313975,1.4081,0.578233
1.33333,-10.262,0.346968,1.55304,0.621586
1.36667,-10.1601,0.38065,1.71139,0.662543
1.4,-10.0601,0.413121,1.84739,0.695353
1.43333,-9.95708,0.45082,1.97816,0.741224
1.46667,-9.8551,0.49109,2.092,0.790382
1.5,-9.75202,0.524655,2.19731,0.813182
1.53333,-9.64607,0.55546,2.30062,0.824865
1.56667,-9.54022,0.589482,2.39273,0.845476
1.6,-9.42443,0.626816,2.50651,0.874376
1.63333,-9.31471,0.659627,2.58915,0.885951
1.66667,-9.19335,0.69448,2.69986,0.902756
1.7,-9.07962,0.730071,2.77479,0.920118
1.73333,-8.95172,0.76631,2.88659,0.937703
1.76667,-8.83333,0.823273,2.95663,1.01888
1.8,-8.70181,0.860699,3.0607,1.02981
1.83333,-8.5825,0.902727,3.1153,1.05413
1.86667,-8.44795,0.945046,3.21227,1.07681
1.9,-8.32589,0.987742,3.25958,1.09829
1.93333,-8.18767,1.03101,3.35294,1.11931
1.96667,-8.05975,1.07558,3.40398,1.14226
2,-7.91887,1.12319,3.49054,1.17234
2.03333,-7.78086,1.1722,3.55892,1.20373
2.06667,-7.63202,1.22137,3.65434,1.23229
2.1,-7.49128,1.27262,3.71409,1.26442
2.13333,-7.33831,1.3283,3.80622,1.30715
2.16667,-7.19022,1.38559,3.87321,1.35046
2.2,-7.03338,1.44369,3.96078,1.39178
2.23333,-6.88138,1.50792,4.02387,1.44811
2.26667,-6.71859,1.57176,4.11437,1.49727
2.3,-6.56554,1.63943,4.1646,1.55336
2.33333,-6.40038,1.70729,4.24777,1.60414
2.36667,-6.24243,1.77842,4.29945,1.6599
2.4,-6.07373,1.84931,4.37958,1.70905
2.43333,-5.90915,1.92225,4.43832,1.75948
2.46667,-5.73871,1.99388,4.50935,1.80049
2.5,-5.55332,2.07961,4.62013,1.88166
2.53333,-5.3782,2.16399,4.68682,1.95007
2.56667,-5.20115,2.24376,4.75257,1.99671
2.6,-5.02906,2.3278,4.79571,2.0519
2.63333,-4.84413,2.40816,4.87492,2.08971
2.66667,-4.66738,2.49112,4.91994,2.13169
2.7,-4.47997,2.57148,4.99383,2.16107
2.73333,-4.29719,2.65798,5.04538,2.20677
2.76667,-4.112,2.74577,5.09912,2.25171
2.8,-3.92457,2.8332,5.15422,2.29077
