timestamp, pose_x, pose_y
0.000000000,24.9448,-3.97412
0.033333000,24.7967,-3.97982
0.066666000,24.5945,-3.96487
0.100000000,24.3978,-3.98511
0.133333000,24.2071,-3.97827
0.166666000,24.0001,-3.98052
0.200000000,23.7842,-3.97825
0.233333000,23.5938,-3.97962
0.266666000,23.3943,-3.97986
0.300000000,23.1917,-3.98404
0.333333000,22.9943,-3.97988
0.366666000,22.794,-3.97681
0.400000000,22.5917,-3.98313
0.433333000,22.3919,-3.9765
0.466666000,22.1917,-3.97129
0.500000000,21.9866,-3.96971
0.533333000,21.7965,-3.96109
0.566666000,21.6625,-3.9043
0.600000000,21.4546,-3.91606
0.633333000,21.1764,-3.97991
0.666666000,20.9855,-3.98302
0.700000000,20.8498,-3.9345
0.733333000,20.6493,-3.95115
0.766666000,20.3687,-3.99093
0.800000000,20.1741,-3.97603
0.833333000,20.0265,-3.95602
0.866666000,19.829,-3.94812
0.900000000,19.6263,-3.95268
0.933333000,19.4279,-3.95329
0.966666000,19.2276,-3.94867
1.000000000,19.0221,-3.9473
1.033333000,18.8167,-3.95061
1.066666000,18.6252,-3.94299
1.100000000,18.4253,-3.93464
1.133333000,18.2124,-3.95469
1.166666000,18.006,-3.96973
1.200000000,17.8668,-3.95606
1.233333000,17.6672,-3.95793
1.266666000,17.3995,-3.98266
1.300000000,17.2529,-3.98645
1.333333000,17.049,-3.98647
1.366666000,16.847,-3.98271
1.400000000,16.6468,-3.97725
1.433333000,16.4483,-3.97052
1.466666000,16.2542,-3.94811
1.500000000,16.036,-3.97207
1.533333000,15.8324,-3.97838
1.566666000,15.6061,-3.97523
1.600000000,15.4573,-3.97465
1.633333000,15.2543,-3.9815
1.666666000,15.0035,-3.98767
1.700000000,14.8712,-3.95173
1.733333000,14.649,-3.98101
1.766666000,14.4576,-3.97594
1.800000000,14.2376,-3.97828
1.833333000,14.0412,-3.96555
1.866666000,13.8467,-3.94244
1.900000000,13.6096,-3.97958
1.933333000,13.4647,-3.97213
1.966666000,13.2092,-3.97847
2.000000000,13.0637,-3.97139
2.033333000,12.85,-3.99263
2.066666000,12.6451,-3.98368
2.100000000,12.4306,-3.98663
2.133333000,12.227,-3.97506
2.166666000,12.013,-3.97816
2.200000000,11.8075,-3.96868
2.233333000,11.6224,-3.98281
2.266666000,11.3999,-3.96628
2.300000000,11.1986,-3.94256
2.333333000,11.0154,-3.92225
2.366666000,10.9081,-3.88012
2.400000000,10.7066,-3.88724
2.433333000,10.4865,-3.88504
2.466666000,10.208,-3.98081
2.500000000,10.0789,-3.95515
2.533333000,9.83814,-3.98507
2.566666000,9.61915,-3.98753
2.600000000,9.38992,-3.9838
2.633333000,9.171,-3.98623
2.666666000,8.96415,-3.98275
2.700000000,8.85896,-3.99396
2.733333000,8.64265,-3.99501
2.766666000,8.41832,-3.99492
